Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
19/04/2024,06:22:15,base,0xfcc93198ec70d7b020d9978fded94adc813ac8aaf0b9a7ecc8b3d66373da74ac,https://www.basescan.org/tx/0xfcc93198ec70d7b020d9978fded94adc813ac8aaf0b9a7ecc8b3d66373da74ac,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,-0.000006534986684965
13/01/2024,11:13:40,arb,0x23b43a3e426f99af0716bae4eb902eb9ebf8832d6206eab5ec143c911473d336,https://arbiscan.io/tx/0x23b43a3e426f99af0716bae4eb902eb9ebf8832d6206eab5ec143c911473d336,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,0.000326981488120329
31/10/2023,06:46:19,bsc,0x8641d69bb99534ff10eb86cc6fd2ed9d38dc76d18ab910eec67369bde921f595,https://bscscan.com/tx/0x8641d69bb99534ff10eb86cc6fd2ed9d38dc76d18ab910eec67369bde921f595,receive,0x06f825c5310239e5a24f910cc6cf25f55f706b61,BNB,0.00000383
10/01/2024,09:44:41,scrl,0xb42c9c9457d65f211e938c626ea5b3cdbd711314ea31f442b2a4b034a2b0d670,https://scrollscan.com/tx/0xb42c9c9457d65f211e938c626ea5b3cdbd711314ea31f442b2a4b034a2b0d670,send,0x084bad79444a43af08c5d8f2bb3b428b689ab746,ETH,-0.000088604977912045
09/03/2024,13:52:45,matic,0x271104d5301c65ddb37923ae6a73877aee12f43afbe16113bb96bf83d1eb92c9,https://polygonscan.com/tx/0x271104d5301c65ddb37923ae6a73877aee12f43afbe16113bb96bf83d1eb92c9,receive,0x088d3d900937aa00a942ee2d2593564d04ab9688,MATIC,0.005583849529195834
09/03/2024,13:51:22,matic,0x107d92ee6c94ea636f29fdf81f010a1f327c641c6a91cbaa75515acb4c14688d,https://polygonscan.com/tx/0x107d92ee6c94ea636f29fdf81f010a1f327c641c6a91cbaa75515acb4c14688d,receive,0x0a31a2e3c4fb455d66265d00bd88088d3ce94ec4,MATIC,0.00919951905365646
19/07/2022,17:27:11,arb,0xb37bed66d6504ade890cde0752d7dd2606dbf8d1578bc72a9c787a74cb0f6808,https://arbiscan.io/tx/0xb37bed66d6504ade890cde0752d7dd2606dbf8d1578bc72a9c787a74cb0f6808,receive,0x0abeb04d45b9797e7dc15116afd4496eb06be193,ETH,0.23577625325872903
28/02/2022,20:48:36,mobm,0xf071652690038426ecec7cb3ac2d6f1731523cc29a68bf7aee282f862b514d83,https://moonscan.io/tx/0xf071652690038426ecec7cb3ac2d6f1731523cc29a68bf7aee282f862b514d83,send,0x0abeb04d45b9797e7dc15116afd4496eb06be193,GLMR,-0.6
20/01/2022,02:29:23,bsc,0x2b0dbe62f7ba2fd7b48e27df6bdd54aad9d1215dccb8cdcd97fd9d57df29eb98,https://bscscan.com/tx/0x2b0dbe62f7ba2fd7b48e27df6bdd54aad9d1215dccb8cdcd97fd9d57df29eb98,receive,0x0abeb04d45b9797e7dc15116afd4496eb06be193,DAR,100.88
13/01/2022,21:08:31,bsc,0x2eecad6f79d4c8a28720de1cd7733595706b662661028daff35fd828c180d068,https://bscscan.com/tx/0x2eecad6f79d4c8a28720de1cd7733595706b662661028daff35fd828c180d068,receive,0x0abeb04d45b9797e7dc15116afd4496eb06be193,CHR,500
13/01/2022,20:58:16,bsc,0x7f7e4db22eb896250093029088d58c3b6bb95b8ac561fac439ade71bf13af883,https://bscscan.com/tx/0x7f7e4db22eb896250093029088d58c3b6bb95b8ac561fac439ade71bf13af883,send,0x0abeb04d45b9797e7dc15116afd4496eb06be193,CHR,-500
07/01/2022,04:24:34,bsc,0xa22060c368ab1b8b3dd1c680f48a364baa6220ab254d550952b3ca590557dc7e,https://bscscan.com/tx/0xa22060c368ab1b8b3dd1c680f48a364baa6220ab254d550952b3ca590557dc7e,send,0x0abeb04d45b9797e7dc15116afd4496eb06be193,BNB,-0.03
27/08/2021,19:50:31,eth,0xd4eccb97ffddcb0a309e4d6ae618c4e04ed6abbcf476d79ccf3401e28a31110a,https://etherscan.io/tx/0xd4eccb97ffddcb0a309e4d6ae618c4e04ed6abbcf476d79ccf3401e28a31110a,receive,0x0abeb04d45b9797e7dc15116afd4496eb06be193,ETH,0.056792193929224626
03/11/2018,03:46:20,eth,0x66630de4ea832dffa09684a11d51d2afb35fc448f06fe60d38c1bf75d82d4e2d,https://etherscan.io/tx/0x66630de4ea832dffa09684a11d51d2afb35fc448f06fe60d38c1bf75d82d4e2d,receive,0x0abeb04d45b9797e7dc15116afd4496eb06be193,ETH,0.005
23/03/2022,13:45:03,bsc,0xc16bd199f99e033ede677104006d3ae801900a2cbfecc39deabe35f97f2ea294,https://bscscan.com/tx/0xc16bd199f99e033ede677104006d3ae801900a2cbfecc39deabe35f97f2ea294,send,0x0aee9df899bc45ee26109b510ee5bbd8011b4dd5,DAR,-110
11/03/2022,22:55:20,bsc,0x0c5e6c15fcc4522e25ab9769bdb5789ba016ce312781767daa2b9f76d34f19a8,https://bscscan.com/tx/0x0c5e6c15fcc4522e25ab9769bdb5789ba016ce312781767daa2b9f76d34f19a8,receive,0x0aee9df899bc45ee26109b510ee5bbd8011b4dd5,DAR,105.075522
21/10/2022,08:22:59,eth,0x10516d13fa47e188ab91b5a91cc3b23b70f5476cd7b7acc152a5876436a11ec8,https://etherscan.io/tx/0x10516d13fa47e188ab91b5a91cc3b23b70f5476cd7b7acc152a5876436a11ec8,send,0x107f273e55f32b40270cb0703638c82ea87f7cc7,ETH,-0.09
14/10/2023,11:38:49,arb,0x1df23f545799e8b27b05e7795b362cb00292d446a144556d8552f3298f6737be,https://arbiscan.io/tx/0x1df23f545799e8b27b05e7795b362cb00292d446a144556d8552f3298f6737be,receive,0x1838f4cd7a5891324d6ed05d877bdef16d5f15ce,ETH,0.00002573986010386
06/08/2023,18:23:17,arb,0xaadfb97f369cb684421f8df425ee8127999a0cb3611f7bf3c76584eab1fdc253,https://arbiscan.io/tx/0xaadfb97f369cb684421f8df425ee8127999a0cb3611f7bf3c76584eab1fdc253,send,0x18643c72a57f434c16379c8eb4f8295c57d9fa6b,ETH,-0.003
20/09/2023,16:11:18,ftm,0xb1d84c629aef8e3c0b3f307168cf2819b5535d727db02088d7742ee8b4993b36,https://ftmscan.com/tx/0xb1d84c629aef8e3c0b3f307168cf2819b5535d727db02088d7742ee8b4993b36,receive,0x1c3b9b0606e56f09e9350e1b318f02bd433b72e3,FTM,0.05237804844567389
04/03/2024,16:32:34,matic,0x32c04d11c0ce07b534effd48f93913a3ae7b381925e51eba3205ae0f1895959f,https://polygonscan.com/tx/0x32c04d11c0ce07b534effd48f93913a3ae7b381925e51eba3205ae0f1895959f,send,0x1d43c188accb6b46aaa7a52b2346c2bee03c02ca,MATIC,-0.03606853020739405
02/03/2024,12:24:34,matic,0x4232635e471d507083639734351eb618ed0fa41782ff767f92f2f68b3fb73779,https://polygonscan.com/tx/0x4232635e471d507083639734351eb618ed0fa41782ff767f92f2f68b3fb73779,receive,0x2251fa87fac5ccb3a5831323c2a647eafc34fda3,MATIC,0.04912803743462228
14/10/2023,11:17:29,arb,0x21a4e9620a4106c9bd5a0543f44c88128f5bcf18e058a3892cadcaf637502818,https://arbiscan.io/tx/0x21a4e9620a4106c9bd5a0543f44c88128f5bcf18e058a3892cadcaf637502818,receive,0x230c89829f2dd99b0f37e0af77dc7870dd1be8b1,ETH,0.000019301789919319
12/11/2023,06:24:40,matic,0x1978c344792dad84b2ac37b30c9beb8802921764083fdc5ca32d37b58089e5a0,https://polygonscan.com/tx/0x1978c344792dad84b2ac37b30c9beb8802921764083fdc5ca32d37b58089e5a0,send,0x2cbe198f1e39c75da6216352d2603db5d4af4f3d,MATIC,-0.07891523184188524
05/04/2024,22:00:06,arb,0xa5ed92c492e5edd67cec390134e0bb93b70aef70f94a9e2c848c48c887f08ab5,https://arbiscan.io/tx/0xa5ed92c492e5edd67cec390134e0bb93b70aef70f94a9e2c848c48c887f08ab5,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,-0.000011184474
31/03/2024,08:48:25,arb,0x2eafe6d8224c429e53c7b989ca42ab37182d8ed55d48ae81135a9da9b81e1610,https://arbiscan.io/tx/0x2eafe6d8224c429e53c7b989ca42ab37182d8ed55d48ae81135a9da9b81e1610,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,-0.000025689574
20/03/2024,06:14:43,arb,0xcfaeca89c4c20921fc2f066a5be08fda81b8e54418e3def10483d178b6d10bb2,https://arbiscan.io/tx/0xcfaeca89c4c20921fc2f066a5be08fda81b8e54418e3def10483d178b6d10bb2,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,0.000037038441933485
08/01/2024,04:20:19,manta,0x0902eb1ebadd176186ae1cfd65d6110b716b4a1f4e6e2a0eb704abcb66d17719,https://pacific-explorer.manta.network/tx/0x0902eb1ebadd176186ae1cfd65d6110b716b4a1f4e6e2a0eb704abcb66d17719,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,0.000445085367373462
02/01/2024,07:15:09,manta,0x4b8185d7a6940d4fa39d2b17d599e9549ccfc8f5559a546157ba225c455c94e6,https://pacific-explorer.manta.network/tx/0x4b8185d7a6940d4fa39d2b17d599e9549ccfc8f5559a546157ba225c455c94e6,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,0.000941684073554087
10/12/2023,10:15:58,matic,0x6a9405209b4412775f9e5696fa72da07cb7a301522ef2d1ed8e937fbf3162612,https://polygonscan.com/tx/0x6a9405209b4412775f9e5696fa72da07cb7a301522ef2d1ed8e937fbf3162612,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,MATIC,-0.010773314588014896
27/11/2023,10:56:26,matic,0x6b736fec1331884253df030a13b6b4e0f5949a6200ecd7f3c78af72993fa46c7,https://polygonscan.com/tx/0x6b736fec1331884253df030a13b6b4e0f5949a6200ecd7f3c78af72993fa46c7,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,MATIC,0.009788065998258573
30/10/2023,06:07:42,era,0xdb55d10b562e8789a9b15d192fe4a63fb2ee24e0927aa7305866229afd5657f4,https://era.zksync.network/tx/0xdb55d10b562e8789a9b15d192fe4a63fb2ee24e0927aa7305866229afd5657f4,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,0.001045106345129693
26/10/2023,15:31:12,linea,0x38478d221de483923fa0114822ef5b32677995b4f0cd5b04929c80a1a6235c31,https://lineascan.build/tx/0x38478d221de483923fa0114822ef5b32677995b4f0cd5b04929c80a1a6235c31,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,0.000174845386807404
26/10/2023,15:29:00,linea,0x6579ce029004047224c433a8b5508e4e5164cd8b64a3f7f960751ed14f5bef80,https://lineascan.build/tx/0x6579ce029004047224c433a8b5508e4e5164cd8b64a3f7f960751ed14f5bef80,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,-0.000541823343916949
28/09/2023,03:14:56,bsc,0x123c9325e1d75a236e73cf61ca66385931645c7d46f7610787163565cc8f09c5,https://bscscan.com/tx/0x123c9325e1d75a236e73cf61ca66385931645c7d46f7610787163565cc8f09c5,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,BNB,-0.001482458553456743
16/09/2023,20:27:49,arb,0x27ce2f277646a1e83d9207e018d5034f9c99cf72d0563c6ce9adc3257611ca98,https://arbiscan.io/tx/0x27ce2f277646a1e83d9207e018d5034f9c99cf72d0563c6ce9adc3257611ca98,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,0.00043180221034485
05/11/2022,16:52:14,matic,0xdd970e25ceff4002b197756b9f808a711e3ee990e0a07ef60c8083af573acc33,https://polygonscan.com/tx/0xdd970e25ceff4002b197756b9f808a711e3ee990e0a07ef60c8083af573acc33,receive,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,USDC,5
09/03/2024,13:51:48,matic,0xc252937f65767a266a1a2e5a3f1960c82a7089f4b7bb8f8ceee3b69e8f9f6b3d,https://polygonscan.com/tx/0xc252937f65767a266a1a2e5a3f1960c82a7089f4b7bb8f8ceee3b69e8f9f6b3d,receive,0x3b89a1b9cfeddf919cb9f57a69ddec70c591ad24,MATIC,0.009126935257682591
14/10/2023,11:42:00,arb,0x3972c4b204fd00a20450be272f805016a3125330f6a43e11daf27c26dfe36d10,https://arbiscan.io/tx/0x3972c4b204fd00a20450be272f805016a3125330f6a43e11daf27c26dfe36d10,send,0x3d0fdde0a9c612866264e96acd585ccddb40de82,ETH,-0.000038607305789166
06/12/2023,17:50:39,matic,0xca67bc8bd83711de18abc8e4140a304c182724575e6134b4d46c557bc05c494b,https://polygonscan.com/tx/0xca67bc8bd83711de18abc8e4140a304c182724575e6134b4d46c557bc05c494b,send,0x413050ba36bce92e5ce59076b99a728657d443cf,MATIC,-0.014613152485483874
08/01/2024,11:10:40,matic,0x36698274fddd7817094c83790a3e5d5353de1644288d789727c82e1512c12af5,https://polygonscan.com/tx/0x36698274fddd7817094c83790a3e5d5353de1644288d789727c82e1512c12af5,send,0x41705349a0f2b4f6ecdf0ffff128fcc4b9fc1a73,MATIC,-0.02168512775492608
31/10/2023,10:38:43,arb,0x411eab05deaf67ffafd6137471b9bc450c99b2d3949de1b825431e0753d9ff6e,https://arbiscan.io/tx/0x411eab05deaf67ffafd6137471b9bc450c99b2d3949de1b825431e0753d9ff6e,send,0x4a1da34717059d4509dbb9ac99ea411fed3bca44,ETH,-0.000027689479105519
21/10/2022,17:20:15,kcc,0x96a6f0e44a3516b61e7fac73e843dbe5aee097e5fc022bebc174095df5bb7295,https://explorer.kcc.io/en/tx/0x96a6f0e44a3516b61e7fac73e843dbe5aee097e5fc022bebc174095df5bb7295,receive,0x4ed07ef37975decae494070744a399f405c666d7,O3,150
21/10/2022,17:19:18,kcc,0x52d5c0c29a0e42f06aa3a8db671eb7062a060cbef3c3cf124ab588946825810b,https://explorer.kcc.io/en/tx/0x52d5c0c29a0e42f06aa3a8db671eb7062a060cbef3c3cf124ab588946825810b,receive,0x4ed07ef37975decae494070744a399f405c666d7,O3,150
11/12/2023,08:49:49,arb,0xcd57bf55004333fff194526c90849f542cd94a033afae6687bb934b0ae934af6,https://arbiscan.io/tx/0xcd57bf55004333fff194526c90849f542cd94a033afae6687bb934b0ae934af6,send,0x54af2c90cfdbfac2e09cc4c7d7bc6184cf1e344c,ETH,-0.000012761558781867
10/04/2024,08:45:34,arb,0x229f887073db0007905acce992dea73fb73be9b6dd9ec730a3fdbd24d904584c,https://arbiscan.io/tx/0x229f887073db0007905acce992dea73fb73be9b6dd9ec730a3fdbd24d904584c,receive,0x563ec3ed122198ca1b6eea74711693521d505d8f,ETH,9.7408e-7
27/11/2023,12:14:10,matic,0x1b8ed4153f928702247c2e36a100feb9c2f8497a1ad2a1e3d24360d6fe8c155e,https://polygonscan.com/tx/0x1b8ed4153f928702247c2e36a100feb9c2f8497a1ad2a1e3d24360d6fe8c155e,send,0x61c4dca5c72fe13e0f34f400476f1004d01d251e,MATIC,-0.002605941956572851
01/10/2023,22:07:21,arb,0xce17bfc0e3ba5423f17af651df6f1c89629e676019c783e4b0b92d0d5cdeb06b,https://arbiscan.io/tx/0xce17bfc0e3ba5423f17af651df6f1c89629e676019c783e4b0b92d0d5cdeb06b,send,0x61c4dca5c72fe13e0f34f400476f1004d01d251e,ETH,-0.00000592301268117
02/03/2024,12:25:00,matic,0x95ff6bfdb344729ffd343bc142a7f035c81048b62007905e0ba7c26e1a99ad60,https://polygonscan.com/tx/0x95ff6bfdb344729ffd343bc142a7f035c81048b62007905e0ba7c26e1a99ad60,receive,0x63a24855ae3c748ef4465c044e74be33335a2166,MATIC,0.013481968045395067
10/04/2024,08:45:25,arb,0xd1701ea0ef4c0519644a7e02b2789504f321b79123d0f68724eee5542a714619,https://arbiscan.io/tx/0xd1701ea0ef4c0519644a7e02b2789504f321b79123d0f68724eee5542a714619,receive,0x6ae5ac7126586acef6de84590d2b386066c39919,ETH,0.000001158423
05/10/2023,05:29:05,matic,0x9237e1f989eef51a0766b9e178db90d71a695530da53f8bef841639e17e08882,https://polygonscan.com/tx/0x9237e1f989eef51a0766b9e178db90d71a695530da53f8bef841639e17e08882,send,0x6cd0b72e0145924758aea8c323731e5f35a66956,MATIC,-0.03282241187143248
06/01/2024,22:30:31,matic,0x2e5d3a8f4030b91f4f974a2a360315af2858031c403d3c8b951da38129ae3b5c,https://polygonscan.com/tx/0x2e5d3a8f4030b91f4f974a2a360315af2858031c403d3c8b951da38129ae3b5c,receive,0x6d7cd36be684d64de42ce578089bef498d9290e3,MATIC,0.02588881261663108
05/12/2023,17:54:58,era,0x46ee13d1e397be08b24e7881130ff291b71eb4fd4512cf72644d1d1b5aad9061,https://era.zksync.network/tx/0x46ee13d1e397be08b24e7881130ff291b71eb4fd4512cf72644d1d1b5aad9061,receive,0x6d7cd36be684d64de42ce578089bef498d9290e3,ETH,0.001
27/11/2023,12:09:08,matic,0x40e70110ccc61225a772baae4d3f410927d23fa6406f27218812dfd5abe2bf0a,https://polygonscan.com/tx/0x40e70110ccc61225a772baae4d3f410927d23fa6406f27218812dfd5abe2bf0a,send,0x6d7cd36be684d64de42ce578089bef498d9290e3,MATIC,-0.02780174614532608
04/02/2023,17:40:11,eth,0x90d3576fad005cbf04a843257020c70c4b9f49cde0b051a6ba7ae46e6149f8c2,https://etherscan.io/tx/0x90d3576fad005cbf04a843257020c70c4b9f49cde0b051a6ba7ae46e6149f8c2,receive,0x6d7cd36be684d64de42ce578089bef498d9290e3,ETH,0.34
