Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
20/03/2023,02:48:30,bsc,0x246ae767e3f2eae40ffda643d7146374e71d97e61039568f9f2d4084579fb381,https://bscscan.com/tx/0x246ae767e3f2eae40ffda643d7146374e71d97e61039568f9f2d4084579fb381,send,0x0da157cbea3f40fdb7d8c1f813fa9dc3f3078e48,BNB,-0.004
20/03/2023,02:41:21,bsc,0xdd83d22e7021b83d5d17fa508e0909e3d3518efb1002df7909902fe9c552564c,https://bscscan.com/tx/0xdd83d22e7021b83d5d17fa508e0909e3d3518efb1002df7909902fe9c552564c,receive,0x0da157cbea3f40fdb7d8c1f813fa9dc3f3078e48,BNB,0.003
27/04/2022,17:50:41,eth,0xe7a2c6ef790e22d3c0503dbf81d6a9b0faaa691a8c55e15a3c67285cb73adfca,https://etherscan.io/tx/0xe7a2c6ef790e22d3c0503dbf81d6a9b0faaa691a8c55e15a3c67285cb73adfca,send,0x156b907be3cc2549ee5053b58dfaff62c7a08b1e,ETH,-0.002
27/04/2022,17:34:44,eth,0x74d49c4a4455e194854a71f90fb23748976140301dc58c9b3a120434cefb7839,https://etherscan.io/tx/0x74d49c4a4455e194854a71f90fb23748976140301dc58c9b3a120434cefb7839,send,0x156b907be3cc2549ee5053b58dfaff62c7a08b1e,ETH,-0.2505
27/04/2022,18:01:55,eth,0x208afb48d36af9e21da3e828c6d031b046701606ae51842f1c4caa9472b673cf,https://etherscan.io/tx/0x208afb48d36af9e21da3e828c6d031b046701606ae51842f1c4caa9472b673cf,send,0x1a5c6218f1b3b0409c4821e444d70d8285fcae8a,ETH,-0.002
27/04/2022,17:35:16,eth,0x63c3efce1a2cf5007e3ec4f2022f2edacf9f931104498c8e5248896976f92bf5,https://etherscan.io/tx/0x63c3efce1a2cf5007e3ec4f2022f2edacf9f931104498c8e5248896976f92bf5,send,0x1a5c6218f1b3b0409c4821e444d70d8285fcae8a,ETH,-0.2505
03/11/2022,17:33:41,bsc,0x584eb57c453d71e0bc1262d4da27686c037e290f394c6798860e28c21a95a939,https://bscscan.com/tx/0x584eb57c453d71e0bc1262d4da27686c037e290f394c6798860e28c21a95a939,receive,0x1daf5dc428cdc67644ab0bf8e9114e0ee1a590a4,BUSD,23
18/04/2022,02:04:47,bsc,0x7e53172894bd17ec03849d73393d5e7d1f6852fd8f0e9e2f84cef05f99c4f8be,https://bscscan.com/tx/0x7e53172894bd17ec03849d73393d5e7d1f6852fd8f0e9e2f84cef05f99c4f8be,send,0x1daf5dc428cdc67644ab0bf8e9114e0ee1a590a4,BUSD,-550
13/05/2022,21:20:45,eth,0xc9296aba6594efacf016923feeac130f90c1869b701ebf603f2268fb5d6d704e,https://etherscan.io/tx/0xc9296aba6594efacf016923feeac130f90c1869b701ebf603f2268fb5d6d704e,receive,0x399dcfc75962795197d1675bfe5b643504fbf4ec,ETH,0.249017835567281
14/03/2023,03:13:42,matic,0x4ec0d60adefd8a71bc7356b15c2dedb4e4b13e14bef7aca6999aea8b5f77e7d3,https://polygonscan.com/tx/0x4ec0d60adefd8a71bc7356b15c2dedb4e4b13e14bef7aca6999aea8b5f77e7d3,receive,0x39ebba0b14518e53bdf8d36fd71e2cb1c54640e3,MATIC,4.1
