Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
10/06/2023,12:54:59,nova,0x35bc051ae5bb70f80d8c6552d98c6df62c95a94100756ba95097a81602e988b5,https://nova.arbiscan.io/tx/0x35bc051ae5bb70f80d8c6552d98c6df62c95a94100756ba95097a81602e988b5,send,0x01b9da2f53baf9b81220b13df9d6d788ed17d83b,USDC,-0.000001
31/05/2023,12:36:58,era,0xb5bb541063c78681f262d512392fe7cc1aeb7a31e776327442112c609bf3073e,https://era.zksync.network/tx/0xb5bb541063c78681f262d512392fe7cc1aeb7a31e776327442112c609bf3073e,send,0x02b66e70628f9bf43ee27a8e57914c1bac876791,ETH,-1e-7
12/06/2023,15:11:56,pze,0xd04c75449d01789d981e97e64f9c92d71869c7476611fa36a944af2eccb5718b,https://zkevm.polygonscan.com/tx/0xd04c75449d01789d981e97e64f9c92d71869c7476611fa36a944af2eccb5718b,send,0x04e51d5b8ed569801c6e8aba97b620e798db4f56,USDC,-0.00001
17/06/2023,13:13:54,pze,0x6932b6c25920f4ce608881904ee247df0562fee5dfe9ec9fa5cba4861224218b,https://zkevm.polygonscan.com/tx/0x6932b6c25920f4ce608881904ee247df0562fee5dfe9ec9fa5cba4861224218b,send,0x14a7ba593d20989c591516dd8807fa0cb5acfcb2,ETH,-0.000001
15/06/2023,14:00:35,nova,0xabe4ab815806b5fd0041767b8d5c7de5b98c3a126916ec66e154444fd80e9f3d,https://nova.arbiscan.io/tx/0xabe4ab815806b5fd0041767b8d5c7de5b98c3a126916ec66e154444fd80e9f3d,send,0x191c04247059db5df93e5341f687146531a1383f,USDC,-0.000001
24/05/2023,15:17:51,pze,0xd862debeb7648399f62551688c2ae780f55e95d17a191682f440485d235aaa63,https://zkevm.polygonscan.com/tx/0xd862debeb7648399f62551688c2ae780f55e95d17a191682f440485d235aaa63,send,0x195cc081a8e97e8ea524b890a7eba97642184850,ETH,-1e-7
26/06/2023,15:37:00,nova,0x191239b8dca3757566d536b97db0dc29dfc12085874f91e58cf957164cab4944,https://nova.arbiscan.io/tx/0x191239b8dca3757566d536b97db0dc29dfc12085874f91e58cf957164cab4944,send,0x1ae99e86998ccf81e5117affe1e80a5248d0397c,USDC,-0.000001
01/06/2023,01:40:02,nova,0xfa52bee790d0b00dcee459ed3ed82dabd8361f620093e614df1e316f53183575,https://nova.arbiscan.io/tx/0xfa52bee790d0b00dcee459ed3ed82dabd8361f620093e614df1e316f53183575,send,0x1b652da2b2761ebc85109c23f8dfe45fe391619e,ETH,-0.000001
27/06/2023,21:08:57,nova,0xf93d8b1c5dc32ef2939ade41eaa30ad41b2a863db6c9775303089d16b821014e,https://nova.arbiscan.io/tx/0xf93d8b1c5dc32ef2939ade41eaa30ad41b2a863db6c9775303089d16b821014e,send,0x1c8c16da9b8bac6f17d1bae1e4fb05e2e685707a,USDC,-0.00001
03/07/2023,13:56:47,era,0x18746cb4361d53596a591bee9cb4b9bf248b84bf8a1ad3846726ec4126a1e0b4,https://era.zksync.network/tx/0x18746cb4361d53596a591bee9cb4b9bf248b84bf8a1ad3846726ec4126a1e0b4,send,0x1f270cb7b39b9304050adedcec17dc7b64229fc5,ETH,-0.000001
26/06/2023,15:34:06,era,0x13e2e26db29c1993bf8d9cf047c2d77a79df56663ceda34dffaf03479c53c9da,https://era.zksync.network/tx/0x13e2e26db29c1993bf8d9cf047c2d77a79df56663ceda34dffaf03479c53c9da,send,0x212cfa915bc5f9ae814f29fac98e0dcef842163d,ETH,-1e-7
27/05/2023,13:34:57,era,0x3ddd099ebfe3e5f556a2dac31e722ce51cbdc37aa058809957cea7bc5d4c43f3,https://era.zksync.network/tx/0x3ddd099ebfe3e5f556a2dac31e722ce51cbdc37aa058809957cea7bc5d4c43f3,send,0x22650246c7a72714744b86a2c905d3d899f0574c,ETH,-1e-7
24/05/2023,15:11:19,era,0x8c00abd9945fe6f683d2ceed846cbc811e7f10692ee7cd34c2addc8bf9fd36d6,https://era.zksync.network/tx/0x8c00abd9945fe6f683d2ceed846cbc811e7f10692ee7cd34c2addc8bf9fd36d6,send,0x22fe97f7c8e0189f54d56288e667d1e6e28b7175,ETH,-1e-7
02/09/2023,13:15:23,nova,0x3955a184533c0a57be46322c57d949cae1aff8550710242a5fd4dd03721969af,https://nova.arbiscan.io/tx/0x3955a184533c0a57be46322c57d949cae1aff8550710242a5fd4dd03721969af,send,0x2309d19042398056ed5868c839b0237427d72e92,USDC,-0.0001
22/05/2023,14:18:19,era,0xf672f67229f63fc6270dfc0a931658a698d4648e5a380ce1d8f6cd29b4d7a677,https://era.zksync.network/tx/0xf672f67229f63fc6270dfc0a931658a698d4648e5a380ce1d8f6cd29b4d7a677,send,0x2717f1cbb8fca20025b7d8f362a92b788f8596ab,ETH,-1e-7
01/07/2023,14:02:09,arb,0x5448644a449dc4f4b10b68843af5c423b75951a951ebb3c373412e2da9677cb2,https://arbiscan.io/tx/0x5448644a449dc4f4b10b68843af5c423b75951a951ebb3c373412e2da9677cb2,receive,0x2b7c090558e57fda174cd70d1c51e654165cd16c,USDC,10
29/05/2023,14:23:02,pze,0x275db9ee9613d1cb2373aa5bb661f946a69ceac910137ec310ddf24bf2bada3d,https://zkevm.polygonscan.com/tx/0x275db9ee9613d1cb2373aa5bb661f946a69ceac910137ec310ddf24bf2bada3d,send,0x2c0c12a0171ced96ec21b458a38f14a75ac284ae,ETH,-0.000001
03/07/2023,13:58:25,nova,0x6ec48cad190e264cc7ec2d2995ff72cd29434916c1a808dfd35d98e6d206f97d,https://nova.arbiscan.io/tx/0x6ec48cad190e264cc7ec2d2995ff72cd29434916c1a808dfd35d98e6d206f97d,send,0x2daf630c9a55e9b4f45b2221f4bc7d927947449a,USDC,-0.00001
23/06/2023,21:29:34,matic,0x02b0b6fa355bc25c530195b02e07bea41839fa9a28af61ec18e754a8f65168e9,https://polygonscan.com/tx/0x02b0b6fa355bc25c530195b02e07bea41839fa9a28af61ec18e754a8f65168e9,send,0x39c73c1fedf4976a3f5205f844e31f65c08044ac,USDT,-1
21/05/2023,13:01:19,pze,0x694f0ddad47c6cc3574ea10f3efef39ae7cc7812daba86fee6d069504cbfeda9,https://zkevm.polygonscan.com/tx/0x694f0ddad47c6cc3574ea10f3efef39ae7cc7812daba86fee6d069504cbfeda9,send,0x3cafdc50fd7334103068cf3b9d9ca081901f2aaf,ATF,-0.00001
16/06/2023,12:54:56,era,0x4ffabf95dbc2a8f9bae5a2c6493a367d585ab19cce6c952815c1292ddc4efc84,https://era.zksync.network/tx/0x4ffabf95dbc2a8f9bae5a2c6493a367d585ab19cce6c952815c1292ddc4efc84,send,0x3dff27f9e520cad8e57c3cd25e7886cf9f403bc6,ETH,-1e-8
27/05/2023,13:34:08,era,0x3ba49cd17bc88bda3e13f7b1d6658c68cfc40ca8448561d52ab3378a30cb7354,https://era.zksync.network/tx/0x3ba49cd17bc88bda3e13f7b1d6658c68cfc40ca8448561d52ab3378a30cb7354,send,0x3f3e693b429aa20986c9ee79fdef348fb6be0a1e,ETH,-1e-7
23/06/2023,14:12:16,nova,0xee261a82e6d7f1c760dbf3e26a6f677f9c6198b43dce0a0890c2cd2159908876,https://nova.arbiscan.io/tx/0xee261a82e6d7f1c760dbf3e26a6f677f9c6198b43dce0a0890c2cd2159908876,send,0x3f6e473d9457452952026c6a77ea79a469d8bdd3,ETH,-1e-7
29/05/2023,21:47:03,nova,0x0a6c50be4cf3bee06c5b429ff24afca7365f1e20762ed51f0d5bfcf0a5e00f91,https://nova.arbiscan.io/tx/0x0a6c50be4cf3bee06c5b429ff24afca7365f1e20762ed51f0d5bfcf0a5e00f91,send,0x4045b8ec940edfaba493df0a59e19047db1bdc3c,USDC,-0.000001
08/06/2023,20:29:19,pze,0x0cda6693e63fef93a14cfccdce76020fc9231f48a0d5791082389a8acd48b5b2,https://zkevm.polygonscan.com/tx/0x0cda6693e63fef93a14cfccdce76020fc9231f48a0d5791082389a8acd48b5b2,send,0x41d0c7a3d022c53e61102b625a938e3fd7f67b01,ETH,-1e-7
27/05/2023,14:00:16,era,0x825db319b52eb407375e37515a0b8288545115022d378d2282c3b87bffeda325,https://era.zksync.network/tx/0x825db319b52eb407375e37515a0b8288545115022d378d2282c3b87bffeda325,send,0x44f5646ee9277d46a40d2099c613073a9ffb14b0,USDC,-0.000001
25/06/2023,12:49:02,nova,0xa1f63ede6c4b4d4a8dbb5e67d3ebb9d363501e122944279b5251395c17cf4459,https://nova.arbiscan.io/tx/0xa1f63ede6c4b4d4a8dbb5e67d3ebb9d363501e122944279b5251395c17cf4459,send,0x4683c5e2da57ea8e3a5b504ed12e60b1ae1c3587,USDC,-0.000001
20/06/2023,13:01:29,pze,0xf232fc75eb5d0eb3c25c31d799715faf8843c23c4e8debb1bfaa9d1d94fcf1d7,https://zkevm.polygonscan.com/tx/0xf232fc75eb5d0eb3c25c31d799715faf8843c23c4e8debb1bfaa9d1d94fcf1d7,send,0x46d4a05ef70ec5ad99d257dd8ffe0497a232511b,ETH,-0.000001
21/05/2023,19:55:18,era,0x59d2bd7726cffc2dfb5b31e1bc6eb09ed0919155bc7229990c6d0eef881228e5,https://era.zksync.network/tx/0x59d2bd7726cffc2dfb5b31e1bc6eb09ed0919155bc7229990c6d0eef881228e5,send,0x484c06eb65bacc135cc81409b3ae9577bc0250e4,ETH,-1e-8
01/06/2023,01:40:44,nova,0xfcdefb6607333b28d4f9aa81510663fa0729dce5abdb878a4f479ac0eddbfb8e,https://nova.arbiscan.io/tx/0xfcdefb6607333b28d4f9aa81510663fa0729dce5abdb878a4f479ac0eddbfb8e,send,0x4b89d407e366d948709df4c5cfcf86f78933c693,USDC,-0.00001
13/06/2023,21:58:16,nova,0x492cb00fbfecdc159eab87c21ef6caa165c70c4faa9cdaa2bf2cb22be925135e,https://nova.arbiscan.io/tx/0x492cb00fbfecdc159eab87c21ef6caa165c70c4faa9cdaa2bf2cb22be925135e,send,0x4e38b275a2328362002e662fa02e594ecf080526,USDC,-0.000001
15/06/2023,13:39:22,pze,0x0037c8855204118c2f1527c26a41fdfaad9e7ecc678d80f3aee86efc4d6e9be9,https://zkevm.polygonscan.com/tx/0x0037c8855204118c2f1527c26a41fdfaad9e7ecc678d80f3aee86efc4d6e9be9,send,0x536b5b274e37e0eaf22442c4c9dbdefc60fcb615,ETH,-1e-7
18/04/2024,12:24:23,eth,0xb300d083a8a4dfdf5a914021fb68ee0667d94e225caddaab32435639f5ff1a00,https://etherscan.io/tx/0xb300d083a8a4dfdf5a914021fb68ee0667d94e225caddaab32435639f5ff1a00,receive,0x55c21bee01316394d5869f6d63a3658d2adde163,ETH,0.002
18/04/2024,12:23:11,eth,0xb24670ceced4d1030f96448d27735d973a5e7480e03f7389897c404cb7ef8c22,https://etherscan.io/tx/0xb24670ceced4d1030f96448d27735d973a5e7480e03f7389897c404cb7ef8c22,receive,0x55c21bee01316394d5869f6d63a3658d2adde163,ETH,0.0027
18/03/2024,15:00:11,eth,0x94d69ce0ef0c9277efb297be12ce4954732ad76a11ec374711f8894bbe877b43,https://etherscan.io/tx/0x94d69ce0ef0c9277efb297be12ce4954732ad76a11ec374711f8894bbe877b43,receive,0x55c21bee01316394d5869f6d63a3658d2adde163,ETH,0.00227
18/01/2024,21:09:35,eth,0xe1861e48be199d3cbc6ce65778f24e3e64a0288f117bd5a40269d50fbe6add48,https://etherscan.io/tx/0xe1861e48be199d3cbc6ce65778f24e3e64a0288f117bd5a40269d50fbe6add48,receive,0x55c21bee01316394d5869f6d63a3658d2adde163,ETH,0.008
